Region,Gender,General Under 12 Years,General 12-Under 15 Years,General 15-Under 18 Years,Indigenous Under 12 Years,Indigenous 12-Under 15 Years,Indigenous 15-Under 18 Years,Year
Hsinchu City,Female,2,15,22,-,-,-,2021
Chiayi City,Male,4,4,1,-,-,-,2021
Chiayi City,Female,3,4,1,-,-,-,2021
Kinmen County,Male,-,-,-,-,-,-,2021
Kinmen County,Female,-,1,3,-,-,-,2021
Lienchiang County,Male,-,-,-,-,-,-,2021
Lienchiang County,Female,-,-,1,-,-,-,2021
New Taipei City,Male,4,25,31,-,-,1,2020
New Taipei City,Female,29,96,83,2,4,10,2020
Taipei City,Male,3,20,21,-,-,-,2020
Taipei City,Female,6,46,55,-,-,-,2020
Taoyuan City,Male,2,11,18,-,-,-,2020
Taoyuan City,Female,10,59,52,1,5,5,2020
Taichung City,Male,3,20,25,-,-,-,2020
Taichung City,Female,16,67,40,-,2,2,2020
Tainan City,Male,4,15,8,-,-,1,2020
Tainan City,Female,6,28,33,-,-,1,2020
Kaohsiung City,Male,5,16,24,-,2,1,2020
Kaohsiung City,Female,8,49,78,1,4,4,2020
Yilan County,Male,-,6,10,-,-,-,2020
Yilan County,Female,1,8,8,1,-,-,2020
Hsinchu County,Male,2,7,8,-,-,-,2020
Hsinchu County,Female,2,8,14,-,1,-,2020
Miaoli County,Male,3,2,7,-,-,1,2020
Miaoli County,Female,2,20,18,-,3,1,2020
Changhua County,Male,2,16,14,-,-,2,2020
Changhua County,Female,7,23,31,-,-,-,2020
Nantou County,Male,1,4,11,-,-,3,2020
Nantou County,Female,2,20,5,1,-,2,2020
Yunlin County,Male,-,4,6,-,-,-,2020
Yunlin County,Female,2,16,18,-,-,-,2020
Chiayi County,Male,-,3,5,-,-,-,2020
Chiayi County,Female,-,3,9,-,-,-,2020
Pingtung County,Male,4,19,9,4,-,-,2020
Pingtung County,Female,3,32,24,4,3,2,2020
Taitung County,Male,1,4,1,-,3,2,2020
Taitung County,Female,2,5,8,1,4,3,2020
Hualien County,Male,-,5,8,-,8,3,2020
Hualien County,Female,1,8,3,-,4,5,2020
Penghu County,Male,-,1,-,-,-,-,2020
Penghu County,Female,-,-,1,-,-,-,2020
Keelung City,Male,2,8,3,-,-,-,2020
Keelung City,Female,2,11,13,-,-,-,2020
Hsinchu City,Male,-,3,-,-,-,-,2020
Hsinchu City,Female,2,14,9,-,-,2,2020
Chiayi City,Male,-,2,1,-,-,-,2020
Chiayi City,Female,1,5,9,-,-,-,2020
Kinmen County,Male,-,-,-,-,-,-,2020
Kinmen County,Female,-,-,-,-,-,-,2020
Lienchiang County,Male,-,3,-,-,-,-,2020
Lienchiang County,Female,-,-,-,-,-,-,2020
New Taipei City,Male,4,13,5,-,-,-,2019
New Taipei City,Female,12,70,76,1,3,5,2019
Taipei City,Male,1,9,4,-,-,-,2019
Taipei City,Female,6,36,31,-,-,-,2019
Taoyuan City,Male,2,8,10,-,2,-,2019
Taoyuan City,Female,8,33,85,-,6,4,2019
Taichung City,Male,-,8,2,-,1,-,2019
Taichung City,Female,10,40,58,-,4,-,2019
Tainan City,Male,1,6,4,-,-,-,2019
Tainan City,Female,3,13,13,-,-,-,2019
Kaohsiung City,Male,-,10,6,-,-,-,2019
Kaohsiung City,Female,6,68,122,-,1,3,2019
Yilan County,Male,-,1,1,-,-,-,2019
Yilan County,Female,1,7,4,-,-,-,2019
Hsinchu County,Male,-,1,5,-,-,-,2019
Hsinchu County,Female,2,7,14,1,-,-,2019
Miaoli County,Male,-,2,3,-,-,-,2019
Miaoli County,Female,2,14,8,-,1,1,2019
