Region,Gender,General Under 12 Years,General 12-Under 15 Years,General 15-Under 18 Years,Indigenous Under 12 Years,Indigenous 12-Under 15 Years,Indigenous 15-Under 18 Years,Year
,Male,3,31,26,-,3,1,2021
,Female,22,56,46,2,10,6,2021
Taichung City,Total,17,72,78,1,2,1,2021
,Male,3,20,34,-,1,-,2021
,Female,14,52,44,1,1,1,2021
Tainan City,Total,18,54,58,-,1,1,2021
,Male,3,19,20,-,-,-,2021
,Female,15,35,38,-,1,1,2021
Kaohsiung City,Total,21,101,113,1,14,4,2021
,Male,3,24,35,-,6,1,2021
,Female,18,77,78,1,8,3,2021
Yilan County,Total,1,14,9,-,-,-,2021
,Male,-,9,3,-,-,-,2021
,Female,1,5,6,-,-,-,2021
Hsinchu County,Total,9,21,28,-,2,-,2021
,Male,1,7,12,-,-,-,2021
,Female,8,14,16,-,2,-,2021
Miaoli County,Total,2,19,28,-,-,-,2021
,Male,2,7,9,-,-,-,2021
,Female,-,12,19,-,-,-,2021
Changhua County,Total,10,41,66,-,2,-,2021
,Male,3,16,20,-,1,-,2021
,Female,7,25,46,-,1,-,2021
Nantou County,Total,2,22,16,2,1,2,2021
,Male,2,8,5,-,-,2,2021
,Female,-,14,11,2,1,-,2021
Yunlin County,Total,11,22,13,-,1,-,2021
,Male,2,5,2,-,-,-,2021
,Female,9,17,11,-,1,-,2021
Chiayi County,Total,1,12,4,-,-,-,2021
,Male,-,3,2,-,-,-,2021
,Female,1,9,2,-,-,-,2021
Pingtung County,Total,3,32,28,1,2,2,2021
,Male,3,11,15,-,-,-,2021
,Female,-,21,13,1,2,2,2021
Taitung County,Total,-,9,4,1,7,8,2021
,Male,-,5,2,1,2,4,2021
,Female,-,4,2,-,5,4,2021
Hualien County,Total,4,10,10,-,10,6,2021
,Male,1,9,5,-,5,4,2021
,Female,3,1,5,-,5,2,2021
Penghu County,Total,-,1,-,-,-,-,2021
,Male,-,-,-,-,-,-,2021
,Female,-,1,-,-,-,-,2021
Keelung City,Total,6,20,13,-,-,-,2021
,Male,1,7,3,-,-,-,2021
,Female,5,13,10,-,-,-,2021
Hsinchu City,Total,3,19,27,-,-,-,2021
,Male,1,4,5,-,-,-,2021
,Female,2,15,22,-,-,-,2021
Chiayi City,Total,7,8,2,-,-,-,2021
,Male,4,4,1,-,-,-,2021
,Female,3,4,1,-,-,-,2021
Kinmen County,Total,-,1,3,-,-,-,2021
,Male,-,-,-,-,-,-,2021
,Female,-,1,3,-,-,-,2021
Lienchiang County,Total,-,-,1,-,-,-,2021
,Male,-,-,-,-,-,-,2021
,Female,-,-,1,-,-,-,2021
Total,Total,138,712,721,15,43,51,2020
,Male,36,194,210,4,13,14,2020
,Female,102,518,511,11,30,37,2020
New Taipei City,Total,33,121,114,2,4,11,2020
,Male,4,25,31,-,-,1,2020
,Female,29,96,83,2,4,10,2020
Taipei City,Total,9,66,76,-,-,-,2020
,Male,3,20,21,-,-,-,2020
,Female,6,46,55,-,-,-,2020
Taoyuan City,Total,12,70,70,1,5,5,2020
,Male,2,11,18,-,-,-,2020
,Female,10,59,52,1,5,5,2020
Taichung City,Total,19,87,65,-,2,2,2020
,Male,3,20,25,-,-,-,2020
,Female,16,67,40,-,2,2,2020
Tainan City,Total,10,43,41,-,-,2,2020
,Male,4,15,8,-,-,1,2020
,Female,6,28,33,-,-,1,2020
Kaohsiung City,Total,13,65,102,1,6,5,2020
,Male,5,16,24,-,2,1,2020
,Female,8,49,78,1,4,4,2020
Yilan County,Total,1,14,18,1,-,-,2020
,Male,-,6,10,-,-,-,2020
,Female,1,8,8,1,-,-,2020
Hsinchu County,Total,4,15,22,-,1,-,2020
,Male,2,7,8,-,-,-,2020
,Female,2,8,14,-,1,-,2020
Miaoli County,Total,5,22,25,-,3,2,2020
,Male,3,2,7,-,-,1,2020
,Female,2,20,18,-,3,1,2020
Changhua County,Total,9,39,45,-,-,2,2020
,Male,2,16,14,-,-,2,2020
,Female,7,23,31,-,-,-,2020
Nantou County,Total,3,24,16,1,-,5,2020
,Male,1,4,11,-,-,3,2020
,Female,2,20,5,1,-,2,2020
Yunlin County,Total,2,20,24,-,-,-,2020
,Male,-,4,6,-,-,-,2020
,Female,2,16,18,-,-,-,2020
Chiayi County,Total,-,6,14,-,-,-,2020
,Male,-,3,5,-,-,-,2020
,Female,-,3,9,-,-,-,2020
Pingtung County,Total,7,51,33,8,3,2,2020
,Male,4,19,9,4,-,-,2020
,Female,3,32,24,4,3,2,2020
Taitung County,Total,3,9,9,1,7,5,2020
,Male,1,4,1,-,3,2,2020
,Female,2,5,8,1,4,3,2020
Hualien County,Total,1,13,11,-,12,8,2020
,Male,-,5,8,-,8,3,2020
,Female,1,8,3,-,4,5,2020
Penghu County,Total,-,1,1,-,-,-,2020
,Male,-,1,-,-,-,-,2020
,Female,-,-,1,-,-,-,2020
Keelung City,Total,4,19,16,-,-,-,2020
,Male,2,8,3,-,-,-,2020
,Female,2,11,13,-,-,-,2020
Hsinchu City,Total,2,17,9,-,-,2,2020
,Male,-,3,-,-,-,-,2020
,Female,2,14,9,-,-,2,2020
Chiayi City,Total,1,7,10,-,-,-,2020
,Male,-,2,1,-,-,-,2020
,Female,1,5,9,-,-,-,2020
Kinmen County,Total,-,-,-,-,-,-,2020
,Male,-,-,-,-,-,-,2020
,Female,-,-,-,-,-,-,2020
Lienchiang County,Total,-,3,-,-,-,-,2020
,Male,-,3,-,-,-,-,2020
,Female,-,-,-,-,-,-,2020
Total,Total,72,475,587,5,33,28,2019
,Male,9,104,59,-,12,3,2019
,Female,63,371,528,5,21,25,2019
New Taipei City,Total,16,83,81,1,3,5,2019
,Male,4,13,5,-,-,-,2019
,Female,12,70,76,1,3,5,2019
Taipei City,Total,7,45,35,-,-,-,2019
,Male,1,9,4,-,-,-,2019
,Female,6,36,31,-,-,-,2019
Taoyuan City,Total,10,41,95,-,8,4,2019
,Male,2,8,10,-,2,-,2019
,Female,8,33,85,-,6,4,2019
Taichung City,Total,10,48,60,-,5,-,2019
,Male,-,8,2,-,1,-,2019
,Female,10,40,58,-,4,-,2019
Tainan City,Total,4,19,17,-,-,-,2019
,Male,1,6,4,-,-,-,2019
,Female,3,13,13,-,-,-,2019
Kaohsiung City,Total,6,78,128,-,1,3,2019
,Male,-,10,6,-,-,-,2019
,Female,6,68,122,-,1,3,2019
Yilan County,Total,1,8,5,-,-,-,2019
,Male,-,1,1,-,-,-,2019
,Female,1,7,4,-,-,-,2019
Hsinchu County,Total,2,8,19,1,-,-,2019
,Male,-,1,5,-,-,-,2019
,Female,2,7,14,1,-,-,2019
Miaoli County,Total,2,16,11,-,1,1,2019
,Male,-,2,3,-,-,-,2019
,Female,2,14,8,-,1,1,2019
Changhua County,Total,3,31,43,-,-,-,2019
,Male,-,4,10,-,-,-,2019
,Female,3,27,33,-,-,-,2019
Nantou County,Total,1,16,9,1,1,1,2019
,Male,-,5,1,-,-,-,2019
,Female,1,11,8,1,1,1,2019
Yunlin County,Total,1,7,18,-,-,-,2019
,Male,-,2,-,-,-,-,2019
,Female,1,5,18,-,-,-,2019
Chiayi County,Total,-,9,8,-,-,1,2019
,Male,-,3,-,-,-,-,2019
,Female,-,6,8,-,-,1,2019
Pingtung County,Total,1,14,18,1,7,1,2019
,Male,-,9,4,-,5,-,2019
,Female,1,5,14,1,2,1,2019
Taitung County,Total,1,11,2,-,3,2,2019
,Male,-,9,-,-,2,1,2019
,Female,1,2,2,-,1,1,2019
Hualien County,Total,2,14,3,1,3,7,2019
,Male,-,5,1,-,2,2,2019
,Female,2,9,2,1,1,5,2019
Penghu County,Total,-,-,1,-,-,-,2019
,Male,-,-,-,-,-,-,2019
,Female,-,-,1,-,-,-,2019
Keelung City,Total,1,9,14,-,1,3,2019
,Male,1,5,1,-,-,-,2019
,Female,-,4,13,-,1,3,2019
Hsinchu City,Total,3,9,15,-,-,-,2019
,Male,-,1,2,-,-,-,2019
,Female,3,8,13,-,-,-,2019
Chiayi City,Total,1,6,5,-,-,-,2019
,Male,-,2,-,-,-,-,2019
,Female,1,4,5,-,-,-,2019
Kinmen County,Total,-,3,-,-,-,-,2019
,Male,-,1,-,-,-,-,2019
,Female,-,2,-,-,-,-,2019
Lienchiang County,Total,-,-,-,-,-,-,2019
,Male,-,-,-,-,-,-,2019
,Female,-,-,-,-,-,-,2019
Total,Total,68,352,551,6,22,38,2018
,Male,12,41,48,-,1,3,2018
,Female,56,311,503,6,21,35,2018
New Taipei City,Total,7,65,109,-,4,9,2018
,Male,3,2,9,-,-,-,2018
,Female,4,63,100,-,4,9,2018
Taipei City,Total,3,14,39,1,1,3,2018
,Male,-,3,1,-,-,-,2018
,Female,3,11,38,1,1,3,2018
Taoyuan City,Total,12,50,55,-,-,1,2018
,Male,4,9,10,-,-,-,2018
,Female,8,41,45,-,-,1,2018
Taichung City,Total,2,28,35,-,-,2,2018
,Male,-,1,1,-,-,1,2018
,Female,2,27,34,-,-,1,2018
Tainan City,Total,5,16,21,-,2,-,2018
,Male,1,-,5,-,-,-,2018
,Female,4,16,16,-,2,-,2018
Kaohsiung City,Total,8,40,116,-,3,7,2018
,Male,1,6,4,-,-,-,2018
,Female,7,34,112,-,3,7,2018
Yilan County,Total,-,8,2,-,-,-,2018
,Male,-,1,-,-,-,-,2018
,Female,-,7,2,-,-,-,2018
Hsinchu County,Total,1,20,18,-,2,2,2018
,Male,-,1,1,-,-,-,2018
,Female,1,19,17,-,2,2,2018
Miaoli County,Total,1,6,9,-,-,-,2018
,Male,-,-,-,-,-,-,2018
,Female,1,6,9,-,-,-,2018
Changhua County,Total,8,38,57,-,-,-,2018
,Male,1,4,6,-,-,-,2018
,Female,7,34,51,-,-,-,2018
Nantou County,Total,-,8,9,-,3,-,2018
,Male,-,1,5,-,-,-,2018
,Female,-,7,4,-,3,-,2018
